ZIP,state,far1,far2,far3,far4,gridpop,sqmi,density,fr1pop,fr2pop,fr3pop,fr4pop,pctfr1,pctfr2,pctfr3,pctfr4
01747,MA,0,0,0,0,"6,112",5.1,1189.1,0,0,0,0,0.0,0.0,0.0,0.0
01748,MA,0,0,0,0,"13,799",28.0,492.8,0,0,0,0,0.0,0.0,0.0,0.0
01749,MA,0,0,0,0,"17,732",12.0,1475.2,0,0,0,0,0.0,0.0,0.0,0.0
01752,MA,0,0,0,0,"36,187",22.2,1627.1,0,0,0,0,0.0,0.0,0.0,0.0
01754,MA,0,0,0,0,"10,195",4.4,2306.6,0,0,0,0,0.0,0.0,0.0,0.0
01756,MA,0,0,0,0,"4,848",18.0,268.9,0,0,0,0,0.0,0.0,0.0,0.0
01757,MA,0,0,0,0,"26,622",16.0,1666.0,0,0,0,0,0.0,0.0,0.0,0.0
01760,MA,0,0,0,0,"32,646",16.2,2021.4,0,0,0,0,0.0,0.0,0.0,0.0
01770,MA,0,0,0,0,"4,360",15.8,275.6,0,0,0,0,0.0,0.0,0.0,0.0
01772,MA,0,0,0,0,"8,408",15.5,542.8,0,0,0,0,0.0,0.0,0.0,0.0
01773,MA,0,0,0,0,"5,468",14.1,386.7,0,0,0,0,0.0,0.0,0.0,0.0
01775,MA,0,0,0,0,"6,497",18.7,347.8,0,0,0,0,0.0,0.0,0.0,0.0
01776,MA,0,0,0,0,"17,461",24.8,705.5,0,0,0,0,0.0,0.0,0.0,0.0
01778,MA,0,0,0,0,"12,976",16.1,805.5,0,0,0,0,0.0,0.0,0.0,0.0
01801,MA,0,0,0,0,"35,252",13.0,2720.1,0,0,0,0,0.0,0.0,0.0,0.0
01803,MA,0,0,0,0,"24,636",11.8,2089.6,0,0,0,0,0.0,0.0,0.0,0.0
01810,MA,0,0,0,0,"32,107",32.1,1000.5,0,0,0,0,0.0,0.0,0.0,0.0
01821,MA,0,0,0,0,"29,138",16.9,1722.1,0,0,0,0,0.0,0.0,0.0,0.0
01824,MA,0,0,0,0,"24,810",18.3,1357.2,0,0,0,0,0.0,0.0,0.0,0.0
01826,MA,0,0,0,0,"29,377",21.4,1372.8,0,0,0,0,0.0,0.0,0.0,0.0
01827,MA,0,0,0,0,"2,769",16.8,164.7,0,0,0,0,0.0,0.0,0.0,0.0
01830,MA,0,0,0,0,"24,195",14.9,1622.7,0,0,0,0,0.0,0.0,0.0,0.0
01832,MA,0,0,0,0,"19,890",12.0,1663.0,0,0,0,0,0.0,0.0,0.0,0.0
01833,MA,0,0,0,0,"7,770",13.2,587.7,0,0,0,0,0.0,0.0,0.0,0.0
01834,MA,0,0,0,0,"5,912",9.4,626.9,0,0,0,0,0.0,0.0,0.0,0.0
01835,MA,0,0,0,0,"14,587",8.6,1688.3,0,0,0,0,0.0,0.0,0.0,0.0
01840,MA,0,0,0,0,"1,316",0.6,2269.0,0,0,0,0,0.0,0.0,0.0,0.0
01841,MA,0,0,0,0,"50,193",3.2,15491.7,0,0,0,0,0.0,0.0,0.0,0.0
01843,MA,0,0,0,0,"23,474",3.6,6484.5,0,0,0,0,0.0,0.0,0.0,0.0
01844,MA,0,0,0,0,"40,615",23.0,1768.2,0,0,0,0,0.0,0.0,0.0,0.0
01845,MA,0,0,0,0,"27,188",27.5,990.5,0,0,0,0,0.0,0.0,0.0,0.0
01850,MA,0,0,0,0,"15,930",1.5,10911.0,0,0,0,0,0.0,0.0,0.0,0.0
01851,MA,0,0,0,0,"29,354",3.3,8868.3,0,0,0,0,0.0,0.0,0.0,0.0
01852,MA,0,0,0,0,"31,367",5.4,5766.0,0,0,0,0,0.0,0.0,0.0,0.0
01854,MA,0,0,0,0,"24,397",4.4,5557.4,0,0,0,0,0.0,0.0,0.0,0.0
01860,MA,0,0,0,0,"6,375",8.9,717.1,0,0,0,0,0.0,0.0,0.0,0.0
01862,MA,0,0,0,0,"10,483",9.3,1123.6,0,0,0,0,0.0,0.0,0.0,0.0
01863,MA,0,0,0,0,"10,168",5.1,2001.6,0,0,0,0,0.0,0.0,0.0,0.0
01864,MA,0,0,0,0,"13,395",13.9,962.3,0,0,0,0,0.0,0.0,0.0,0.0
01867,MA,0,0,0,0,"23,597",9.9,2376.3,0,0,0,0,0.0,0.0,0.0,0.0
01876,MA,0,0,0,0,"29,354",21.4,1374.9,0,0,0,0,0.0,0.0,0.0,0.0
01879,MA,0,0,0,0,"11,805",18.1,651.1,0,0,0,0,0.0,0.0,0.0,0.0
01880,MA,0,0,0,0,"24,451",8.0,3056.4,0,0,0,0,0.0,0.0,0.0,0.0
01886,MA,0,0,0,0,"20,982",30.8,682.3,0,0,0,0,0.0,0.0,0.0,0.0
01887,MA,0,0,0,0,"22,153",16.7,1325.7,0,0,0,0,0.0,0.0,0.0,0.0
01890,MA,0,0,0,0,"21,745",6.8,3212.0,0,0,0,0,0.0,0.0,0.0,0.0
01901,MA,0,0,0,0,"2,253",0.2,9387.5,0,0,0,0,0.0,0.0,0.0,0.0
01902,MA,0,0,0,0,"44,776",2.5,17982.3,0,0,0,0,0.0,0.0,0.0,0.0
01904,MA,0,0,0,0,"15,806",3.4,4676.3,0,0,0,0,0.0,0.0,0.0,0.0
01905,MA,0,0,0,0,"24,641",5.4,4563.1,0,0,0,0,0.0,0.0,0.0,0.0
01906,MA,0,0,0,0,"25,702",11.4,2250.6,0,0,0,0,0.0,0.0,0.0,0.0
01907,MA,0,0,0,0,"14,363",3.0,4787.7,0,0,0,0,0.0,0.0,0.0,0.0
01908,MA,0,0,0,0,"2,193",1.3,1726.8,0,0,0,0,0.0,0.0,0.0,0.0
01913,MA,0,0,0,0,"16,465",13.8,1189.7,0,0,0,0,0.0,0.0,0.0,0.0
01915,MA,0,0,0,0,"36,631",15.5,2361.8,0,0,0,0,0.0,0.0,0.0,0.0
